source_file,folder_path,crawl_date,crawl_time,city,temperature_°C_,feels_like_°C_,temp_min_°C_,temp_max_°C_,pressure_hPa_,humidity_%_,visibility_m_,wind_speed_m/s_,wind_deg_°_,cloudiness_%_,weather_main,weather_description,sunrise_date,sunrise_time,sunset_date,sunset_time
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Kolkata,30.39,36.55,30.39,30.39,1002,72,9329,6.1,124,100,Clouds,overcast clouds,2025-09-02,05:19:34,2025-09-02,17:53:26
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Pune,22.99,23.69,22.99,22.99,1008,90,9487,3.71,258,100,Clouds,overcast clouds,2025-09-02,06:20:18,2025-09-02,18:48:46
weather_data 2025-09-02 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,11:47,Nagpur,27.62,31.04,27.62,27.62,1004,79,3050,3.21,327,100,Clouds,overcast clouds,2025-09-02,05:57:36,2025-09-02,18:29:32
weather_data 2025-09-03 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,11:47,Nagpur,26.25,26.25,26.25,26.25,1003,85,4402,4.75,319,100,Clouds,overcast clouds,2025-09-03,05:57:51,2025-09-03,18:28:37
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Surat,24.17,25.15,24.17,24.17,1006,96,7712,3.89,280,100,Clouds,overcast clouds,2025-09-04,06:23:10,2025-09-04,18:52:46
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Indore,23.67,24.63,23.67,23.67,1004,97,6349,3.21,290,100,Clouds,overcast clouds,2025-09-04,06:10:13,2025-09-04,18:41:43
weather_data 2025-09-04 11:48:00.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,11:47,Vadodara,24.97,25.92,24.97,24.97,1005,92,6127,5.25,274,100,Clouds,overcast clouds,2025-09-04,06:21:00,2025-09-04,18:51:59
weather_data 2025-09-05 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,11:47,Bhopal,22.57,23.36,22.57,22.57,1005,95,6851,4.52,177,100,Clouds,overcast clouds,2025-09-05,06:03:55,2025-09-05,18:34:49
weather_data 2025-09-06 11:47:31.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,11:47,Bhopal,22.7,23.45,22.7,22.7,1007,93,,3.36,185,100,Clouds,overcast clouds,2025-09-06,06:04:14,2025-09-06,18:33:49
weather_data 2025-09-07 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,11:47,Surat,25.6,26.59,25.6,25.6,1007,91,5494,7.82,233,100,Clouds,overcast clouds,2025-09-07,06:23:54,2025-09-07,18:49:59
weather_data 2025-09-07 11:47:59.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,11:47,Vadodara,24.61,25.53,24.61,24.61,1006,92,2409,5.72,220,100,Clouds,overcast clouds,2025-09-07,06:21:51,2025-09-07,18:49:06
weather_data 2025-08-31 15:02:36.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:02,Ludhiana,23.21,24.15,23.21,23.21,1002,98,4319,4.63,91,100,Clouds,overcast clouds,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 15:50:53.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:50,Ludhiana,23.44,24.42,23.44,23.44,1002,99,4319,4.63,91,100,Clouds,overcast clouds,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 23:48:41.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,23:48,Delhi,26.91,29.81,26.91,26.91,1002,83,5979,3.08,92,100,Clouds,overcast clouds,2025-08-31,05:58:48,2025-08-31,18:44:40
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Ludhiana,22.43,23.31,22.43,22.43,1002,99,6662,3.39,69,100,Clouds,overcast clouds,2025-09-01,06:02:56,2025-09-01,18:50:50
weather_data 2025-09-01 11:48:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:48,Kanpur,28.74,32.88,28.74,28.74,1002,74,9127,5.32,156,100,Clouds,overcast clouds,2025-09-01,05:48:28,2025-09-01,18:29:18
weather_data 2025-09-02 07:47:32.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,07:47,Ludhiana,21.2,21.96,21.2,21.2,1002,99,953,3.64,40,100,Clouds,overcast clouds,2025-09-02,06:03:31,2025-09-02,18:49:37
weather_data 2025-09-04 03:50:10.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,03:50,Vadodara,26.61,26.61,26.61,26.61,1002,81,9005,2.44,302,100,Clouds,overcast clouds,2025-09-04,06:21:00,2025-09-04,18:51:59
weather_data 2025-09-04 03:50:10.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,03:50,Agra,26.29,26.29,26.29,26.29,1002,84,6608,3.39,75,100,Clouds,overcast clouds,2025-09-04,05:58:35,2025-09-04,18:35:53
weather_data 2025-08-31 11:51:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:51,Bhopal,26.76,29.22,26.76,26.76,1005,80,4462,2.94,264,100,Clouds,overcast clouds,2025-08-31,06:02:19,2025-08-31,18:39:41
weather_data 2025-09-01 03:51:08.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,03:51,Mumbai,26.43,26.43,26.43,26.43,1005,85,7583,7.2,252,100,Clouds,overcast clouds,2025-09-01,06:23:49,2025-09-01,18:53:57
weather_data 2025-09-02 07:47:32.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,07:47,Mumbai,26.99,30,26.99,26.99,1005,83,8474,6.48,277,100,Clouds,overcast clouds,2025-09-02,06:24:01,2025-09-02,18:53:07
weather_data 2025-09-03 07:48:10.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,07:48,Agra,24.85,25.82,24.85,24.85,1005,93,5569,2.94,39,100,Clouds,overcast clouds,2025-09-03,05:58:09,2025-09-03,18:36:59
weather_data 2025-09-03 23:47:33.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,23:47,Indore,22.45,23.23,22.45,22.45,1005,95,,4.59,306,100,Clouds,overcast clouds,2025-09-03,06:09:55,2025-09-03,18:42:41
weather_data 2025-09-04 07:48:08.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,07:48,Surat,23.77,24.74,23.77,23.77,1005,97,5342,1.72,221,100,Clouds,overcast clouds,2025-09-04,06:23:10,2025-09-04,18:52:46
weather_data 2025-09-06 19:47:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,19:47,Surat,25.07,26.17,25.07,25.07,1005,97,8992,6.15,225,100,Clouds,overcast clouds,2025-09-06,06:23:40,2025-09-06,18:50:55
weather_data 2025-09-06 23:48:06.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,23:48,Vadodara,24.61,25.66,24.61,24.61,1005,97,5462,5.11,220,100,Clouds,overcast clouds,2025-09-06,06:21:34,2025-09-06,18:50:04
weather_data 2025-08-30 20:30:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,20:30,Indore,23.34,24.18,23.34,23.34,1006,94,4726,2.17,301,100,Clouds,overcast clouds,2025-08-30,06:08:41,2025-08-30,18:46:28
weather_data 2025-08-31 13:19:42.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:19,Bhopal,28.18,32.72,28.18,28.18,1004,81,8840,4.06,280,100,Clouds,overcast clouds,2025-08-31,06:02:19,2025-08-31,18:39:41
weather_data 2025-08-31 13:19:42.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:19,Agra,34.35,38.82,34.35,34.35,1001,49,8696,3.34,162,100,Clouds,overcast clouds,2025-08-31,05:56:48,2025-08-31,18:40:16
weather_data 2025-09-01 03:51:08.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,03:51,Delhi,24.85,25.82,24.85,24.85,1000,93,2529,3.2,80,100,Clouds,overcast clouds,2025-09-01,05:59:18,2025-09-01,18:43:32
weather_data 2025-09-01 03:51:08.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,03:51,Ludhiana,23.01,23.95,23.01,23.01,1001,99,3238,3.25,84,100,Clouds,overcast clouds,2025-09-01,06:02:56,2025-09-01,18:50:50
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Pune,22.49,23.3,22.49,22.49,1007,96,6516,2.95,251,100,Clouds,overcast clouds,2025-09-01,06:20:07,2025-09-01,18:49:36
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Kanpur,27.68,31.45,27.68,27.68,1001,81,6312,4.25,129,100,Clouds,overcast clouds,2025-09-01,05:48:28,2025-09-01,18:29:18
weather_data 2025-09-02 03:47:28.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,03:47,Ludhiana,21.68,22.46,21.68,21.68,1001,98,7984,4.43,37,100,Clouds,overcast clouds,2025-09-02,06:03:31,2025-09-02,18:49:37
weather_data 2025-09-02 07:47:32.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,07:47,Pune,23.39,24.24,23.39,23.39,1007,94,4801,2.47,249,100,Clouds,overcast clouds,2025-09-02,06:20:18,2025-09-02,18:48:46
weather_data 2025-09-03 03:47:43.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,03:47,Delhi,23.94,24.87,23.94,23.94,1003,95,4485,3.48,90,100,Clouds,overcast clouds,2025-09-03,06:00:17,2025-09-03,18:41:15
weather_data 2025-09-03 19:47:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-03,19:47,Indore,22.72,23.5,22.72,22.72,1004,94,7034,3.98,314,100,Clouds,overcast clouds,2025-09-03,06:09:55,2025-09-03,18:42:41
weather_data 2025-09-04 23:47:43.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,23:47,Indore,23.12,24.02,23.12,23.12,1003,97,4817,3.17,282,100,Clouds,overcast clouds,2025-09-04,06:10:13,2025-09-04,18:41:43
weather_data 2025-09-05 03:47:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,03:47,Pune,21.49,22.18,21.49,21.49,1006,95,8217,2.59,239,100,Clouds,overcast clouds,2025-09-05,06:20:49,2025-09-05,18:46:16
weather_data 2025-09-05 03:47:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,03:47,Bhopal,22.97,23.91,22.97,22.97,1001,99,1645,2.66,216,100,Clouds,overcast clouds,2025-09-05,06:03:55,2025-09-05,18:34:49
weather_data 2025-09-05 07:47:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,07:47,Pune,21.82,22.51,21.82,21.82,1008,94,6082,2.57,235,100,Clouds,overcast clouds,2025-09-05,06:20:49,2025-09-05,18:46:16
weather_data 2025-09-05 07:47:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,07:47,Bhopal,23.33,24.28,23.33,23.33,1004,98,,2.42,188,100,Clouds,overcast clouds,2025-09-05,06:03:55,2025-09-05,18:34:49
weather_data 2025-09-06 03:50:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,03:50,Pune,21.66,22.31,21.66,21.66,1007,93,6438,3.02,248,100,Clouds,overcast clouds,2025-09-06,06:20:59,2025-09-06,18:45:25
weather_data 2025-09-06 03:50:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,03:50,Bhopal,22.93,23.81,22.93,22.93,1004,97,410,2.97,181,100,Clouds,overcast clouds,2025-09-06,06:04:14,2025-09-06,18:33:49
weather_data 2025-09-06 19:47:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,19:47,Vadodara,24.72,25.81,24.72,24.72,1003,98,2057,4.84,191,100,Clouds,overcast clouds,2025-09-06,06:21:34,2025-09-06,18:50:04
weather_data 2025-09-06 23:48:06.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,23:48,Surat,25.08,26.1,25.08,25.08,1006,94,5001,6.69,220,100,Clouds,overcast clouds,2025-09-06,06:23:40,2025-09-06,18:50:55
weather_data 2025-09-07 03:47:55.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,03:47,Surat,24.82,25.79,24.82,24.82,1004,93,7694,6.17,216,100,Clouds,overcast clouds,2025-09-07,06:23:54,2025-09-07,18:49:59
weather_data 2025-09-07 07:48:01.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,07:47,Surat,24.4,25.38,24.4,24.4,1006,95,5996,4.58,262,100,Clouds,overcast clouds,2025-09-07,06:23:54,2025-09-07,18:49:59
weather_data 2025-09-07 15:47:33.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,15:47,Vadodara,26.74,29.33,26.74,26.74,1003,82,3195,6.44,213,100,Clouds,overcast clouds,2025-09-07,06:21:51,2025-09-07,18:49:06
weather_data 2025-08-31 11:51:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:51,Vadodara,30.55,36.14,30.55,30.55,1006,69,4546,4.53,224,96,Clouds,overcast clouds,2025-08-31,06:19:51,2025-08-31,18:55:45
weather_data 2025-08-31 13:19:42.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:19,Vadodara,30.83,36.57,30.83,30.83,1004,68,3416,5.16,234,98,Clouds,overcast clouds,2025-08-31,06:19:51,2025-08-31,18:55:45
weather_data 2025-08-31 23:02:16.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,23:02,Agra,28.61,32.75,28.61,28.61,1002,75,8062,2.57,161,98,Clouds,overcast clouds,2025-08-31,05:56:48,2025-08-31,18:40:16
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Mumbai,26.74,29.5,26.74,26.74,1006,84,9269,5.6,238,89,Clouds,overcast clouds,2025-09-01,06:23:49,2025-09-01,18:53:57
weather_data 2025-09-01 07:51:21.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,07:51,Jaipur,24.29,25.28,24.29,24.29,1001,96,3727,4.88,217,98,Clouds,overcast clouds,2025-09-01,06:06:16,2025-09-01,18:47:46
weather_data 2025-09-01 15:49:06.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,15:49,Agra,31.64,35.69,31.64,31.64,998,58,5130,3.39,191,92,Clouds,overcast clouds,2025-09-01,05:57:15,2025-09-01,18:39:11
weather_data 2025-09-01 23:47:33.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,23:47,Pune,22.57,23.36,22.57,22.57,1007,95,8345,2.94,258,99,Clouds,overcast clouds,2025-09-01,06:20:07,2025-09-01,18:49:36
weather_data 2025-09-02 19:48:01.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-02,19:47,Bhopal,24.09,25.14,24.09,24.09,1004,99,8623,2.93,286,95,Clouds,overcast clouds,2025-09-02,06:02:58,2025-09-02,18:37:45
weather_data 2025-09-04 03:50:10.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,03:50,Delhi,25.49,26.47,25.49,25.49,1004,91,7126,1.66,48,99,Clouds,overcast clouds,2025-09-04,06:00:47,2025-09-04,18:40:06
weather_data 2025-09-04 19:47:57.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-04,19:47,Indore,23.29,24.18,23.29,23.29,1003,96,,5.12,236,99,Clouds,overcast clouds,2025-09-04,06:10:13,2025-09-04,18:41:43
weather_data 2025-09-05 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,11:47,Nagpur,30.64,37.64,30.64,30.64,1007,76,9469,4.95,206,93,Clouds,overcast clouds,2025-09-05,05:58:21,2025-09-05,18:26:47
weather_data 2025-09-05 11:47:30.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,11:47,Indore,26.4,26.4,26.4,26.4,1004,84,7245,3.64,297,99,Clouds,overcast clouds,2025-09-05,06:10:31,2025-09-05,18:40:45
weather_data 2025-09-05 23:47:31.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,23:47,Bhopal,23.21,24.15,23.21,23.21,1005,98,4613,4.12,193,98,Clouds,overcast clouds,2025-09-05,06:03:55,2025-09-05,18:34:49
weather_data 2025-09-06 11:47:31.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,11:47,Nagpur,27.87,31.49,27.87,27.87,1009,78,3809,3.91,219,94,Clouds,overcast clouds,2025-09-06,05:58:36,2025-09-06,18:25:51
weather_data 2025-09-06 23:48:06.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-06,23:48,Bangalore,23.02,23.65,23.02,23.02,1013,87,8427,3.68,315,99,Clouds,overcast clouds,2025-09-06,06:08:48,2025-09-06,18:27:37
weather_data 2025-09-07 15:47:33.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-07,15:47,Mumbai,26.61,26.61,26.61,26.61,1007,81,6020,3.61,269,93,Clouds,overcast clouds,2025-09-07,06:24:56,2025-09-07,18:48:50
weather_data 2025-09-09 03:48:03.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-09,03:48,Nagpur,22.97,23.67,22.97,22.97,1008,90,7284,1.76,348,98,Clouds,overcast clouds,2025-09-09,05:59:19,2025-09-09,18:23:02
weather_data 2025-08-31 03:48:44.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,03:48,Vadodara,25.59,26.66,25.59,25.59,1004,94,5033,3.58,203,100,Rain,moderate rain,2025-08-31,06:19:51,2025-08-31,18:55:45
weather_data 2025-08-31 11:51:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:51,Ludhiana,24,25.01,24,24,1006,98,4033,4.1,103,100,Rain,moderate rain,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 13:19:42.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:19,Ludhiana,23.63,24.61,23.63,23.63,1004,98,4352,4.56,96,100,Rain,moderate rain,2025-08-31,06:02:22,2025-08-31,18:52:02
weather_data 2025-08-31 23:02:16.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,23:02,Delhi,26.91,29.81,26.91,26.91,1002,83,4960,2.55,152,100,Rain,moderate rain,2025-08-31,05:58:48,2025-08-31,18:44:40
weather_data 2025-09-01 11:48:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:48,Delhi,24.78,25.74,24.78,24.78,1001,93,9790,4.65,109,100,Rain,moderate rain,2025-09-01,05:59:18,2025-09-01,18:43:32
