crawl_date,city,forecast_time,hour_sort,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
2025-09-12,Patna,11:30,11,34.1,39.31,34.1,34.1,1007,52,2.26,304,100,Clouds,overcast clouds,0,0
2025-09-12,Vadodara,20:30,20,29.35,32.16,29.35,29.35,1008,63,1.81,146,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,08:30,8,29.77,34.04,29.77,29.77,1008,68,2.44,288,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,11:30,11,33.13,38.11,33.13,33.13,1007,55,2.61,308,100,Clouds,overcast clouds,0,0
2025-09-12,Chennai,05:30,5,27.47,29.27,27.47,27.69,1006,66,4.77,224,100,Clouds,overcast clouds,0,0
2025-09-12,Lucknow,20:30,20,30.26,33.77,30.26,30.26,1006,62,2.28,63,100,Clouds,overcast clouds,0,0
2025-09-12,Patna,05:30,5,27.55,30.51,27.22,27.55,1006,76,1.21,294,100,Clouds,overcast clouds,0,0
2025-09-12,Agra,02:30,2,28.61,30.96,28.61,28.61,1006,64,2.78,280,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,02:30,2,28.04,31.02,27.16,28.04,1006,72,2.25,264,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,05:30,5,27.09,29.65,26.4,27.09,1006,77,2.51,279,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,20:30,20,30.78,34.87,30.78,30.78,1006,62,1.91,347,100,Clouds,overcast clouds,0,0
2025-09-12,Varanasi,23:30,23,29.98,34.06,29.98,29.98,1006,66,1.67,119,100,Clouds,overcast clouds,0,0
