source_file,folder_path,crawl_date,crawl_time,city,forecast_date,forecast_time,temp_c,feels_like_c,temp_min_c,temp_max_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_deg,cloudiness_pct,weather_main,weather_desc,pop,rain_3h_mm
hourly_data 2025-08-31 14:59:25.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,14:59,Lucknow,2025-08-31,17:30:00,32.5,39.5,30.88,32.5,1002,69,3.58,113,100,Rain,light rain,0.72,0.13
hourly_data 2025-08-31 07:50:15.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,07:50,Bengaluru,2025-08-31,17:30:00,26.81,28.39,26.81,26.81,1008,68,5.57,266,100,Rain,light rain,0.38,0.28
hourly_data 2025-08-31 11:50:16.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:50,Bengaluru,2025-08-31,17:30:00,26.86,28.47,26.86,26.99,1009,68,4.98,264,100,Rain,light rain,0.5,0.5
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Bengaluru,2025-08-31,17:30:00,26.64,26.64,26.64,27,1008,66,4.98,264,100,Rain,light rain,0.5,0.5
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Lucknow,2025-08-31,17:30:00,32.68,39.68,30.87,32.68,1001,65,3.58,113,100,Rain,light rain,0.72,0.13
hourly_data 2025-08-31 14:59:25.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,14:59,Bengaluru,2025-08-31,17:30:00,26.96,28.63,26.96,27.09,1009,68,4.98,264,100,Rain,light rain,0.5,0.5
hourly_data 2025-08-31 15:50:04.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:49,Bengaluru,2025-08-31,17:30:00,26.91,28.55,26.91,27.07,1009,68,4.98,264,100,Rain,light rain,0.5,0.5
hourly_data 2025-08-31 15:50:04.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,15:49,Lucknow,2025-08-31,17:30:00,32.2,39.2,30.79,32.2,1001,81,3.58,113,100,Rain,light rain,0.72,0.13
hourly_data 2025-09-01 11:47:51.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:47,Lucknow,2025-09-01,17:30:00,27.57,30.43,27.57,27.8,1000,75,1.75,217,100,Rain,light rain,0.94,1.43
hourly_data 2025-09-01 15:47:56.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,15:47,Lucknow,2025-09-01,17:30:00,26.74,28.79,26.74,27.82,1000,75,1.75,217,100,Rain,light rain,0.94,1.43
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Vadodara,2025-08-30,14:30:00,27.37,31.18,27.37,28.31,1005,85,2.97,262,100,Rain,light rain,0.9,1.51
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Indore,2025-08-30,14:30:00,26.77,29.48,26.77,28.57,1005,83,4.22,305,100,Rain,light rain,0.86,0.73
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Mumbai,2025-08-31,14:30:00,28,31.95,28,28,1005,79,6.46,261,100,Rain,light rain,0.53,0.34
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Jaipur,2025-08-30,14:30:00,26.57,26.57,26.31,26.57,1004,65,3.61,33,100,Rain,light rain,0.99,2.81
hourly_data 2025-09-05 01:01:48.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-05,01:01,Kolkata,2025-09-05,14:30:00,29.92,35.57,29.92,29.92,1004,73,4.19,194,100,Rain,light rain,0.8,0.61
hourly_data 2025-08-30 07:14:19.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-30,07:14,Chennai,2025-08-30,14:30:00,32.38,36.74,32.38,33.32,1006,56,1.39,252,100,Rain,light rain,0.21,0.18
hourly_data 2025-09-01 11:47:51.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:47,Hyderabad,2025-09-01,14:30:00,26.7,28.5,26.7,29.09,1006,72,7.34,282,100,Rain,light rain,0.2,0.11
hourly_data 2025-08-31 11:50:16.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,11:50,Agra,2025-08-31,14:30:00,33.82,38.33,33.82,33.93,1002,51,2.25,179,100,Rain,light rain,0.98,0.65
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Lucknow,2025-08-31,14:30:00,33.58,40.58,33.58,33.58,1001,63,5.06,113,100,Rain,light rain,0.8,1.01
hourly_data 2025-08-31 13:18:49.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-08-31,13:18,Agra,2025-08-31,14:30:00,32.67,37.7,32.67,32.67,1001,57,2.25,179,100,Rain,light rain,0.98,0.65
hourly_data 2025-09-01 11:47:51.csv,https://onelake.dfs.fabric.microsoft.com/e406e233-b34a-489d-8cd5-8851d4e2a74a/5bf8e2ae-a8c7-41ec-ad55-1c807526ffa9/Files/,2025-09-01,11:47,Lucknow,2025-09-01,14:30:00,26.74,29.17,25.99,26.74,1001,80,3.74,154,100,Rain,light rain,0.6,0.3
